subject,level,depth,mag,fwhm,ttp
sub-001,0,0.0,0.9914306111423928,5.1380775339481914,12.032631578947369
sub-001,1,16.666666666666664,0.9930765985880896,5.6682575938608935,12.137263157894736
sub-001,2,33.33333333333333,1.102241032686769,5.473938848657836,11.928
sub-001,3,50.0,1.160127073419243,5.576977880739438,12.032631578947369
sub-001,4,66.66666666666666,1.3376385829667934,5.505921936352683,12.032631578947369
sub-001,5,83.33333333333334,1.2265060922952906,5.1270876850187435,11.823368421052631
sub-001,6,100.0,1.0751936425619069,5.2142447383849575,11.823368421052631
sub-002,0,0.0,0.4621735254103978,4.098029679952218,10.044631578947369
sub-002,1,14.285714285714285,0.4303823970164239,3.908036153123188,9.835368421052632
sub-002,2,28.57142857142857,0.4124312342528159,3.8591634781300215,9.835368421052632
sub-002,3,42.857142857142854,0.450693488850046,4.1579956613008076,10.149263157894737
sub-002,4,57.14285714285714,0.341443733321921,4.1425719183993035,10.149263157894737
sub-002,5,71.42857142857143,0.3401842442719943,4.332695214881236,10.358526315789474
sub-002,6,85.71428571428571,0.3068467886759372,4.654820819867659,10.463157894736842
sub-002,7,100.0,0.4039450262238799,4.71078843712572,10.358526315789474
sub-003,0,0.0,1.0788686313007974,4.523292100772114,13.392842105263158
sub-003,1,14.285714285714285,0.9100927196187464,4.571057002461604,13.916
sub-003,2,28.57142857142857,0.8395528461978843,4.785774381554161,13.81136842105263
sub-003,3,42.857142857142854,0.8192977687791463,4.717404969166022,13.81136842105263
sub-003,4,57.14285714285714,0.5851534982347034,4.20324583724234,13.18357894736842
sub-003,5,71.42857142857143,0.6023810185789241,4.499900031268629,13.602105263157894
sub-003,6,85.71428571428571,0.6272595812368249,4.19989333781527,13.18357894736842
sub-003,7,100.0,0.6011698240681659,4.556665619490509,13.706736842105263
sub-005,0,0.0,0.4792342342827264,5.073774161283183,12.451157894736843
sub-005,1,20.0,0.5029058490954422,5.087746167191096,12.451157894736843
sub-005,2,40.0,0.490211288062841,5.133851180373915,12.55578947368421
sub-005,3,60.0,0.4825799844762349,5.140599355638436,12.55578947368421
sub-005,4,80.0,0.4703241858308666,5.096929865818023,12.55578947368421
sub-005,5,100.0,0.4788072009599634,5.109171325831923,12.55578947368421
sub-007,0,0.0,0.5873628464011317,5.976344741914243,13.18357894736842
sub-007,1,25.0,0.5818690408068802,5.694435340060309,13.078947368421051
sub-007,2,50.0,0.6002600123104262,5.295833433804754,12.869684210526316
sub-007,3,75.0,0.6508497255787509,5.3202452171815455,13.078947368421051
sub-007,4,100.0,0.6425058309707403,5.889005739038064,13.28821052631579
sub-008,0,0.0,0.6333485107314466,6.447786287864272,12.660421052631579
sub-008,1,25.0,0.599815863775912,6.6972321620553945,12.55578947368421
sub-008,2,50.0,0.7080159717839883,6.691357647739363,12.451157894736843
sub-008,3,75.0,0.5574564613235451,6.236059773641726,12.660421052631579
sub-008,4,100.0,0.546091485739912,5.8471353107335915,12.660421052631579
