model,noise_levels,orig,sim
1,0.0,-0.0005782030185055298,0.0011123024089063627
1,0.1,0.036955884855626175,-0.14413542731640472
1,0.2,-0.06066980393400301,0.11690522762991096
1,0.30000000000000004,0.05335424034864622,0.10541167718700217
1,0.4,-0.14012914151784828,-0.21358874497086433
1,0.5,0.045349139212693235,0.5806672803939299
1,0.6000000000000001,0.1069092747609246,0.6324995759749903
1,0.7000000000000001,0.027991586521882716,0.24917592264415722
1,0.8,-1.1254544332241792,-0.8349245106192187
1,0.9,-0.7506650591672342,0.5897018086654191
2,0.0,-0.012466497051236702,-0.0015540166488896556
2,0.1,0.025085001705694943,0.030921545004043427
2,0.2,0.032799670879935405,-0.10585726248655947
2,0.30000000000000004,-0.017007186124254225,0.16980608301936106
2,0.4,-0.05154585740253492,0.09645196708964776
2,0.5,-0.09312449726825722,0.021806267685537062
2,0.6000000000000001,0.0034532962436535364,0.24962538317637195
2,0.7000000000000001,0.19339319219529094,-0.40194525024300354
2,0.8,-0.11447640571035556,0.7556781753436368
2,0.9,0.5905363122174918,-0.42563217484753846
3,0.0,-0.013540646829926395,-0.0062378399968909815
3,0.1,-0.04532555611838518,0.0654991491661947
3,0.2,-0.030084167766097014,0.054713044229308005
3,0.30000000000000004,-0.04241327626592706,0.028600530618848374
3,0.4,-0.06718562622277457,0.2943275965963925
3,0.5,-0.12569313008001148,-0.09878950411762166
3,0.6000000000000001,0.3146638675101492,0.06598494152609735
3,0.7000000000000001,-0.04623549090646217,0.04471428777210229
3,0.8,-0.0030412281563594323,-0.3262026809601305
3,0.9,-0.15500706855495472,-0.27645276281773956
4,0.0,-0.015465616994399634,-0.0012344134552076946
4,0.1,-0.04189598841878173,-0.07871711719046948
4,0.2,0.0659883402432464,-0.1288584621360147
4,0.30000000000000004,-0.07547099551804237,0.16798355808158116
4,0.4,-0.21300081259538883,0.06952481730939497
4,0.5,-0.16063678346607846,-0.024502582192554967
4,0.6000000000000001,0.10409348732940926,0.08898951101688501
4,0.7000000000000001,-1.1503948898243164,0.2719432345042463
4,0.8,-0.2056784908408653,0.9240725154340224
4,0.9,-1.0222933419905638,0.36991558034683014
